delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000,exp,1,8,20,5,110.78718129200001,111.77631187500003,111.77631187500003,111.77631187500003,space,0.5503548750000391,113.03706891666663,113.37202620899996,113.37202620899996,113.37202620899996,700,21,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068]",113.37202620899996,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,1,9,21,6,115.33662195900001,116.32646975,116.32646975,116.32646975,space,0.3963296659999287,116.82815745866664,117.156147917,117.156147917,117.156147917,100,22,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,400,unexp,1,10,22,0,119.58670091700003,120.57657066699994,120.57657066699994,120.57657066699994,space,0.2772732079999969,120.9588525006666,121.28760116699993,121.28760116699993,121.28760116699993,300,23,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,400,unexp,1,11,23,1,125.67033387499998,126.659878875,126.659878875,126.659878875,space,0.3799024999999574,127.45440275066666,127.78151724999998,127.78151724999998,127.78151724999998,500,24,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,2,0,24,9,130.587339542,131.57700899999998,131.57700899999998,131.57700899999998,space,0.30410237499995674,131.99267958366661,132.32842837499993,132.32842837499993,132.32842837499993,200,25,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514]",132.32842837499993,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,1000,exp,2,1,25,4,134.170700625,135.16038420899997,135.16038420899997,135.16038420899997,space,0.32369858399999885,135.89373329166668,136.230617834,136.230617834,136.230617834,100,26,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202]",136.230617834,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,1000,exp,2,2,26,10,138.05409999999995,139.04381024999998,139.04381024999998,139.04381024999998,space,0.538730542000053,139.99279495866668,140.33550987499996,140.33550987499996,140.33550987499996,200,27,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024]",140.33550987499996,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,1000,exp,2,3,27,7,142.53772416699996,143.528268917,143.528268917,143.528268917,space,1.2623033749999877,145.20486912566665,145.5350145,145.5350145,145.5350145,400,28,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,2,4,28,6,147.52178116699997,148.51124008399995,148.51124008399995,148.51124008399995,space,0.36653787499994905,148.98829362566667,149.32534416700003,149.32534416700003,149.32534416700003,100,29,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693]",149.32534416700003,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,400,unexp,2,5,29,0,150.87122175000002,151.86082266699998,151.86082266699998,151.86082266699998,space,0.8155765829999382,152.78837300066667,153.12191999999993,153.12191999999993,153.12191999999993,200,30,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,1000,exp,2,6,30,5,157.03824774999998,158.027732959,158.027732959,158.027732959,space,0.4569776250000359,159.19460625066668,159.52072837499998,159.52072837499998,159.52072837499998,500,31,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,2,7,31,3,165.12163799999996,166.11134608399993,166.11134608399993,166.11134608399993,space,0.3607768329999317,166.5778379166667,166.91585033399997,166.91585033399997,166.91585033399997,100,32,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335, 2.862004707999972]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968, 2.8620073329999514]",166.91585033399997,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,400,unexp,2,8,32,1,169.77199054200003,170.76165479199994,170.76165479199994,170.76165479199994,space,0.46853012500002933,171.6445578336667,171.97756712499995,171.97756712499995,171.97756712499995,300,33,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335, 2.862004707999972, 3.73382704200003]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968, 2.8620073329999514, 3.7338302090000752]",171.97756712499995,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,1000,exp,2,9,33,11,175.70547820900003,176.695710792,176.695710792,176.695710792,space,0.5189329159999261,177.92806900066662,178.25957612499997,178.25957612499997,178.25957612499997,400,34,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335, 2.862004707999972, 3.73382704200003, 5.503259500000013]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968, 2.8620073329999514, 3.7338302090000752, 5.5032624169999735]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,400,unexp,2,10,34,2,183.75549845900002,184.74527037500002,184.74527037500002,184.74527037500002,space,0.39023054099993715,185.84492916666662,186.18174595899995,186.18174595899995,186.18174595899995,800,35,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335, 2.862004707999972, 3.73382704200003, 5.503259500000013, 4.781252957999982]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968, 2.8620073329999514, 3.7338302090000752, 5.5032624169999735, 4.781255708000003]",186.18174595899995,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,1000,exp,2,11,35,8,190.95590683399996,191.946477167,191.946477167,191.946477167,space,0.34348391699995773,192.9957603756666,193.33785862499997,193.33785862499997,193.33785862499997,400,36,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969, 1.8957115829999793, 2.5001290410000365, 3.1194625839999617, 2.141895708999982, 1.8345965409999963, 2.3593643330000305, 1.8117736670000113, 1.918233999999984, 3.4982977079999955, 2.6181871250000768, 1.9715783750000355, 2.438444666999999, 4.389764749999927, 2.813137875000052, 1.8499312499999405, 1.8309546670000145, 2.2108029170000236, 1.9936957080000184, 1.55305070899999, 3.923274458999913, 5.6079955829999335, 2.862004707999972, 3.73382704200003, 5.503259500000013, 4.781252957999982, 2.6593345409999074]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957, 1.8957142079999585, 2.5001316249999945, 3.1194655000000466, 2.141897874999927, 1.834599207999986, 2.359367249999991, 1.8117764170000328, 1.918236458000024, 3.4983008330000303, 2.6181898330000877, 1.9715813340000068, 2.4384476669999913, 4.389767708000022, 2.8131406669999706, 1.8499339579999514, 1.8309580420000202, 2.210805583000024, 1.9936986250000928, 1.5530533339999693, 3.923277124999913, 5.607998707999968, 2.8620073329999514, 3.7338302090000752, 5.5032624169999735, 4.781255708000003, 2.659338790999982]",193.33785862499997,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
